Contour 1:
(380, 101)
(384, 96)
(382, 101)
(382, 100)
(381, 99)
(384, 100)
(384, 104)
(380, 106)
(380, 105)
(381, 106)

Contour 22:
(145, 108)
(145, 107)
(144, 106)
(141, 106)
(140, 108)
(144, 106)
(142, 108)
(143, 108)

Contour 23:
(159, 118)
(159, 118)
(155, 115)
(157, 115)
(152, 116)
(151, 113)
(154, 112)
(150, 111)
(150, 112)
(147, 112)
(146, 112)
(148, 108)
(150, 112)
(151, 108)
(151, 112)
(148, 110)
(152, 114)
(151, 116)
(152, 116)
(153, 117)
(156, 116)
(156, 117)
(159, 115)
(159, 118)

Contour 24:
(381, 126)
(385, 121)
(381, 123)
(382, 121)
(385, 120)
(383, 121)
(384, 120)
(383, 119)
(384, 114)
(385, 119)
(381, 117)
(381, 121)
(384, 120)
(384, 123)
(382, 123)
(384, 123)

Contour 25:
(347, 128)
(347, 126)
(347, 127)
(348, 123)
(347, 125)
(346, 121)
(346, 121)
(349, 119)
(347, 118)
(347, 120)
(348, 120)
(348, 115)
(347, 114)
(345, 113)
(348, 115)
(348, 112)
(346, 110)
(349, 112)
(349, 110)
(347, 107)
(348, 109)
(347, 106)
(347, 110)
(349, 110)
(349, 111)
(345, 111)
(345, 113)
(347, 111)
(349, 115)
(347, 117)
(349, 116)
(349, 117)
(348, 117)
(345, 121)
(348, 119)
(347, 120)
(346, 123)
(349, 124)
(345, 122)
(346, 125)
(349, 124)
(347, 125)

Contour 26:
(174, 131)
(175, 131)
(171, 133)
(169, 130)
(172, 130)
(171, 129)
(170, 126)
(165, 128)
(167, 125)
(165, 123)
(164, 126)
(162, 124)
(163, 124)
(160, 123)
(158, 118)
(162, 119)
(161, 121)
(161, 123)
(166, 126)
(167, 124)
(166, 126)
(167, 126)
(168, 127)
(168, 126)
(168, 128)
(172, 131)
(171, 130)
(174, 134)

Contour 27:
(186, 147)
(187, 146)
(186, 147)
(187, 146)
(184, 143)
(181, 146)
(184, 143)
(181, 140)
(179, 140)
(178, 142)
(181, 141)
(176, 136)
(176, 135)
(177, 134)
(175, 136)
(175, 135)
(175, 138)
(179, 137)
(180, 138)
(177, 141)
(179, 142)
(183, 142)
(180, 141)
(181, 143)
(181, 145)
(182, 144)
(186, 147)
(186, 145)
(184, 147)
(186, 148)

Contour 28:
(189, 155)
(191, 153)
(189, 151)
(191, 151)
(192, 154)

Contour 29:
(191, 156)
(190, 153)

Contour 30:
(157, 157)
(158, 159)
(159, 154)
(157, 154)
(160, 152)
(159, 156)
(157, 153)
(158, 150)
(155, 153)
(153, 149)
(156, 151)
(154, 147)
(154, 145)
(152, 146)
(151, 145)
(150, 143)
(149, 143)
(147, 142)
(148, 143)
(144, 143)
(147, 139)
(144, 141)
(145, 139)
(141, 136)
(142, 138)
(140, 136)
(140, 135)
(139, 137)
(142, 135)
(137, 133)
(138, 135)
(139, 132)
(139, 133)
(134, 130)
(134, 128)
(133, 129)
(132, 127)
(133, 128)
(129, 127)
(131, 123)
(131, 126)
(130, 124)
(129, 122)
(126, 123)
(128, 121)
(126, 119)
(124, 117)
(124, 118)
(123, 116)
(122, 117)
(123, 116)
(119, 113)
(118, 112)
(117, 114)
(117, 114)
(115, 111)
(115, 108)
(116, 109)
(113, 111)
(113, 110)
(111, 108)
(111, 108)
(113, 106)
(109, 103)
(107, 102)
(108, 105)
(108, 104)
(105, 103)
(108, 99)
(109, 98)
(104, 98)
(104, 98)
(108, 99)
(108, 96)
(107, 96)
(107, 93)
(107, 95)
(109, 95)
(109, 94)
(109, 93)
(104, 93)
(107, 95)
(107, 97)
(107, 100)
(105, 100)
(109, 100)
(106, 102)
(110, 104)
(112, 104)
(111, 102)
(111, 103)
(112, 107)
(113, 106)
(117, 106)
(116, 108)
(116, 110)
(116, 113)
(117, 111)
(118, 115)
(123, 116)
(120, 115)
(121, 115)
(125, 116)
(124, 117)
(128, 120)
(125, 119)
(129, 123)
(128, 122)
(132, 121)
(131, 122)
(134, 123)
(134, 124)
(132, 127)
(135, 129)
(138, 127)
(135, 131)
(140, 130)
(137, 134)
(138, 132)
(140, 133)
(141, 134)
(140, 134)
(145, 137)
(142, 140)
(147, 139)
(148, 138)
(148, 139)
(149, 143)
(147, 145)
(151, 142)
(151, 143)
(153, 147)
(155, 146)
(153, 148)
(155, 150)
(156, 150)
(154, 150)
(155, 154)
(155, 155)
(159, 155)
(158, 157)
(157, 158)
(159, 155)

Contour 31:
(194, 158)
(192, 157)

Contour 32:
(386, 160)
(385, 159)
(383, 157)
(385, 158)
(382, 156)
(384, 156)
(385, 155)
(384, 151)
(382, 153)
(383, 149)
(383, 151)
(385, 147)
(383, 146)
(386, 148)
(382, 144)
(383, 145)
(384, 145)
(382, 141)
(385, 143)
(386, 141)
(386, 139)
(383, 141)
(383, 139)
(385, 138)
(385, 138)
(382, 138)
(386, 140)
(382, 141)
(383, 140)
(385, 145)
(384, 143)
(385, 146)
(386, 147)
(386, 147)
(382, 149)
(382, 149)
(382, 152)
(386, 150)
(382, 152)
(382, 151)
(383, 154)
(384, 156)
(382, 154)
(385, 156)
(382, 158)
(385, 158)

Contour 33:
(198, 162)
(197, 161)
(198, 160)
(198, 162)

Contour 34:
(196, 165)
(199, 166)

Contour 35:
(201, 169)
(202, 170)
(199, 166)
(202, 168)

Contour 36:
(168, 171)
(166, 171)
(168, 169)
(165, 169)
(165, 165)
(164, 164)
(161, 163)
(164, 165)
(164, 163)
(163, 160)
(159, 161)
(163, 159)
(163, 158)
(159, 159)
(160, 162)
(164, 163)
(164, 162)
(165, 163)
(165, 165)
(167, 165)
(166, 166)
(167, 165)
(166, 168)
(167, 170)
(170, 169)

Contour 37:
(202, 170)
(200, 173)

Contour 38:
(205, 175)

Contour 39:
(207, 176)
(207, 177)
(205, 174)
(203, 179)

Contour 40:
(210, 186)
(210, 186)
(207, 185)
(210, 185)
(206, 183)
(206, 181)
(204, 182)
(206, 180)
(206, 184)
(207, 182)
(209, 184)
(208, 183)

Contour 41:
(177, 184)
(175, 183)
(175, 183)
(173, 185)
(176, 182)
(173, 181)
(173, 178)
(173, 177)
(170, 177)
(175, 178)
(172, 179)
(172, 177)
(170, 174)
(169, 173)
(171, 175)
(170, 172)
(171, 171)
(172, 172)
(172, 177)
(169, 174)
(171, 175)
(173, 177)
(175, 180)
(173, 178)
(175, 181)
(175, 181)
(174, 182)
(175, 185)
(175, 185)
(179, 188)

Contour 42:
(210, 187)

Contour 43:
(386, 193)
(382, 189)
(384, 190)
(384, 191)
(385, 190)
(383, 189)
(385, 185)
(383, 184)
(386, 182)
(386, 183)
(385, 184)
(383, 183)
(382, 179)
(382, 177)
(385, 178)
(382, 180)
(382, 182)
(385, 182)
(383, 184)
(385, 184)
(383, 182)
(386, 184)
(384, 184)
(383, 187)
(382, 187)
(383, 191)
(384, 190)
(385, 191)

Contour 44:
(214, 195)
(214, 190)
(213, 189)
(209, 191)
(209, 191)
(212, 193)

Contour 45:
(218, 205)
(216, 201)
(215, 202)
(215, 199)
(215, 197)
(215, 200)
(215, 199)
(213, 195)
(215, 195)
(214, 197)
(212, 198)
(212, 197)
(214, 201)
(214, 198)
(218, 200)
(215, 200)
(217, 201)

Contour 46:
(185, 206)
(184, 201)
(183, 204)
(183, 203)
(184, 199)
(183, 199)
(183, 198)
(184, 197)
(183, 196)
(180, 196)
(179, 197)
(182, 196)
(178, 193)
(180, 194)
(177, 192)
(179, 189)
(179, 188)
(176, 186)
(180, 188)
(176, 187)
(178, 192)
(177, 191)
(180, 194)
(179, 194)
(182, 196)
(180, 193)
(182, 194)
(180, 196)
(180, 196)
(184, 199)
(182, 202)
(182, 202)
(183, 200)
(187, 205)
(183, 202)

Contour 47:
(218, 207)

Contour 48:
(218, 207)
(218, 208)

Contour 49:
(186, 211)
(189, 211)
(185, 207)
(184, 206)
(186, 208)
(185, 207)
(184, 204)
(186, 205)
(186, 209)
(185, 209)
(185, 209)
(187, 209)

Contour 50:
(220, 213)
(220, 215)
(218, 210)
(218, 210)
(219, 208)
(221, 209)
(222, 211)
(222, 214)

Contour 51:
(191, 216)
(189, 211)
(188, 212)

Contour 52:
(222, 216)
(223, 216)

Contour 53:
(191, 216)
(189, 216)
(192, 214)

Contour 54:
(223, 218)
(222, 219)

Contour 55:
(194, 220)
(191, 223)
(191, 219)
(192, 217)
(189, 221)
(192, 220)

Contour 56:
(225, 221)
(223, 222)

Contour 57:
(381, 225)
(384, 222)
(381, 221)
(385, 221)
(383, 222)
(384, 222)
(384, 218)
(384, 218)
(384, 216)
(384, 215)
(384, 217)
(385, 214)
(383, 212)
(385, 211)
(381, 213)
(381, 209)
(384, 208)
(381, 212)
(383, 211)
(381, 210)
(385, 215)
(382, 213)
(383, 215)
(385, 218)
(382, 218)
(385, 219)
(385, 217)
(383, 219)
(384, 221)
(381, 223)
(385, 223)
(385, 225)

Contour 58:
(225, 229)
(224, 225)
(223, 224)
(223, 228)

Contour 59:
(195, 229)
(194, 226)
(192, 227)
(194, 225)
(192, 223)
(191, 222)
(195, 225)
(193, 227)
(194, 229)
(192, 226)

Contour 60:
(226, 231)
(223, 230)

Contour 61:
(224, 233)
(228, 235)
(224, 231)
(227, 234)

Contour 62:
(196, 235)
(194, 234)
(194, 234)
(196, 232)
(193, 232)
(196, 234)
(194, 233)
(193, 232)
(198, 236)

Contour 63:
(227, 241)
(225, 240)
(226, 238)
(227, 241)

Contour 64:
(226, 243)
(228, 242)

Contour 65:
(200, 244)
(196, 245)
(196, 244)
(198, 241)
(199, 240)
(198, 240)
(198, 240)
(197, 239)
(199, 240)
(195, 241)
(200, 243)
(196, 245)

Contour 66:
(227, 251)
(227, 250)
(228, 250)
(230, 251)

Contour 67:
(231, 256)
(230, 254)
(231, 255)
(230, 255)

Contour 68:
(202, 258)
(198, 255)
(201, 257)
(200, 257)
(199, 253)
(199, 251)
(201, 254)
(199, 251)
(201, 251)
(201, 249)
(200, 252)
(197, 253)
(200, 254)
(199, 255)
(200, 255)
(200, 254)
(199, 258)
(201, 259)

Contour 69:
(345, 264)
(345, 260)
(348, 261)
(346, 258)
(347, 259)
(348, 259)
(344, 261)
(345, 263)

Contour 70:
(233, 263)
(229, 263)
(232, 261)
(232, 259)
(230, 262)
(232, 259)

Contour 71:
(203, 267)
(199, 264)
(203, 265)
(203, 261)
(199, 260)
(199, 260)
(203, 264)
(199, 264)
(199, 265)
(201, 266)

Contour 72:
(100, 266)
(102, 268)
(100, 265)
(101, 267)
(102, 268)
(101, 265)
(100, 268)
(100, 268)

Contour 73:
(91, 266)
(92, 266)
(93, 268)
(91, 268)
(94, 267)
(96, 268)
(92, 269)
(91, 268)
(91, 266)
(89, 266)

Contour 74:
(104, 269)
(106, 265)
(107, 266)
(109, 269)

Contour 75:
(232, 267)
(232, 269)
(233, 268)
(233, 264)
(233, 265)
(230, 266)
(233, 265)
(233, 268)
(231, 269)
(234, 270)

Contour 76:
(110, 268)

Contour 77:
(80, 270)
(80, 268)
(83, 266)
(84, 266)
(83, 268)
(85, 268)
(86, 268)
(82, 266)
(82, 268)
(82, 269)

Contour 78:
(112, 270)
(111, 271)

Contour 79:
(233, 272)

Contour 80:
(115, 273)

Contour 81:
(74, 271)
(76, 271)
(76, 268)
(81, 269)
(77, 272)
(77, 272)

Contour 82:
(118, 273)

Contour 83:
(72, 272)

Contour 84:
(120, 273)
(125, 273)

Contour 85:
(72, 271)

Contour 86:
(126, 272)
(126, 272)

Contour 87:
(128, 273)
(130, 277)

Contour 88:
(132, 276)
(137, 277)
(134, 274)
(137, 275)

Contour 89:
(233, 281)
(234, 279)
(235, 278)
(233, 277)
(232, 273)
(232, 272)
(233, 271)
(234, 274)
(231, 274)
(235, 276)
(232, 278)
(234, 280)

Contour 90:
(152, 280)

Contour 91:
(151, 278)
(146, 278)
(148, 280)
(147, 277)
(146, 276)
(145, 278)
(145, 279)
(142, 278)
(143, 278)
(139, 279)
(139, 277)
(142, 277)
(140, 277)
(140, 279)
(145, 276)
(142, 278)
(146, 276)
(147, 277)
(147, 280)
(147, 277)
(151, 278)
(149, 281)

Contour 92:
(155, 278)
(157, 281)
(154, 279)
(155, 278)
(157, 281)
(153, 282)

Contour 93:
(161, 281)
(159, 280)
(163, 281)
(162, 279)

Contour 94:
(202, 280)
(203, 283)
(203, 280)
(200, 277)
(203, 276)
(202, 275)
(204, 274)
(200, 274)
(204, 272)
(200, 274)
(202, 271)
(201, 271)
(204, 268)
(201, 270)
(202, 269)
(201, 273)
(202, 271)
(203, 273)
(200, 276)
(201, 275)
(204, 278)
(202, 278)
(201, 280)
(203, 281)
(201, 281)
(202, 279)

Contour 95:
(167, 282)
(168, 283)
(168, 284)
(169, 281)

Contour 96:
(178, 285)
(175, 281)
(174, 282)
(177, 284)
(174, 283)
(172, 281)
(172, 285)
(174, 284)
(174, 282)
(174, 283)
(176, 283)
(177, 285)
(180, 285)
(180, 284)
(181, 285)
(182, 282)
(180, 284)
(180, 285)

Contour 97:
(187, 285)
(185, 285)
(187, 287)
(187, 284)
(191, 283)
(191, 287)
(188, 286)
(190, 287)
(188, 285)
(184, 287)

Contour 98:
(200, 285)
(201, 287)
(200, 287)
(198, 287)
(197, 284)
(196, 284)
(194, 287)
(194, 287)
(192, 288)
(192, 288)
(195, 288)
(196, 285)
(194, 288)
(197, 287)
(196, 287)
(197, 287)
(200, 288)
(201, 286)
(200, 286)
(199, 286)
(200, 286)
(201, 288)
(200, 287)
(199, 288)

Contour 99:
(236, 287)
(237, 288)
(237, 289)
(235, 288)
(236, 285)
(237, 286)
(237, 283)
(235, 283)
(235, 280)
(232, 284)
(236, 285)
(235, 283)
(234, 283)
(233, 285)
(237, 287)
(233, 290)

Contour 100:
(238, 291)
(235, 292)
(235, 290)
(236, 292)
(239, 294)
(240, 293)
(239, 295)

Contour 101:
(48, 292)
(49, 291)
(51, 293)
(48, 292)
(50, 287)
(54, 288)
(52, 286)
(56, 287)
(52, 287)
(54, 284)
(56, 282)
(57, 282)
(57, 281)
(56, 283)
(59, 281)
(62, 279)
(59, 280)
(62, 278)
(63, 281)
(60, 277)
(63, 276)
(63, 278)
(65, 279)
(65, 275)
(67, 276)
(70, 273)
(67, 273)
(69, 275)
(70, 276)
(66, 276)
(65, 276)
(65, 278)
(67, 277)
(63, 276)
(63, 280)
(64, 277)
(62, 282)
(58, 283)
(59, 280)
(58, 282)
(59, 282)
(56, 285)
(54, 283)
(55, 284)
(53, 288)
(50, 289)
(51, 290)
(50, 289)
(52, 290)
(51, 290)

Contour 102:
(243, 292)
(244, 295)

Contour 103:
(249, 294)
(251, 297)
(249, 295)
(250, 294)

Contour 104:
(255, 298)
(254, 297)

Contour 105:
(261, 297)
(259, 299)
(263, 298)
(261, 299)
(264, 295)
(263, 298)

Contour 106:
(269, 297)
(269, 298)
(272, 297)
(270, 298)

Contour 107:
(277, 297)
(279, 298)
(280, 301)
(280, 297)

Contour 108:
(290, 300)
(291, 301)
(290, 299)
(291, 302)
(289, 300)
(288, 298)

Contour 109:
(307, 301)
(308, 302)

Contour 110:
(299, 300)
(302, 299)
(302, 299)
(301, 299)
(302, 302)
(301, 299)
(302, 300)
(298, 303)

Contour 111:
(309, 303)
(310, 303)
(312, 300)
(314, 302)
(314, 304)
(312, 304)
(313, 301)
(313, 303)
(311, 301)
(310, 302)
(310, 302)
(308, 303)

Contour 112:
(324, 305)
(324, 302)
(324, 301)
(326, 303)
(328, 301)
(327, 305)
(327, 304)
(323, 301)

Contour 113:
(336, 302)
(334, 304)
(335, 301)
(336, 305)
(331, 303)
(333, 304)
(331, 305)
(332, 305)
(329, 301)
(328, 305)
(331, 305)
(331, 304)
(332, 301)
(335, 304)
(335, 305)
(336, 303)
(335, 303)
(336, 303)
(339, 302)
(339, 306)
(342, 302)
(343, 302)
(345, 304)
(344, 304)
(346, 305)
(345, 303)
(345, 304)
(345, 301)
(346, 300)
(347, 298)
(349, 299)
(349, 295)
(349, 297)
(348, 294)
(349, 293)
(347, 294)
(349, 292)
(345, 289)
(345, 292)
(345, 287)
(346, 286)
(348, 288)
(345, 288)
(349, 285)
(347, 283)
(349, 283)
(348, 284)
(348, 280)
(346, 282)
(345, 281)
(349, 280)
(348, 279)
(349, 276)
(347, 276)
(347, 276)
(349, 273)
(345, 272)
(347, 271)
(346, 272)
(347, 269)
(347, 267)
(345, 267)
(346, 266)
(345, 264)
(345, 263)
(344, 265)
(344, 267)
(348, 267)
(347, 270)
(347, 269)
(349, 272)
(348, 269)
(349, 270)
(349, 274)
(348, 272)
(346, 273)
(345, 276)
(347, 278)
(349, 278)
(347, 280)
(348, 280)
(345, 282)
(345, 281)
(347, 284)
(348, 286)
(345, 286)
(348, 285)
(348, 286)
(349, 289)
(348, 287)
(349, 291)
(349, 293)
(345, 293)
(349, 294)
(346, 293)
(347, 295)
(347, 296)
(345, 297)
(348, 300)
(349, 300)
(346, 301)
(346, 302)
(349, 302)
(346, 305)
(348, 303)
(347, 304)
(347, 305)
(342, 305)
(343, 303)
(341, 304)
(341, 306)
(339, 303)
(338, 302)
(339, 303)

Contour 114:
(534, 307)
(535, 305)
(538, 304)
(538, 306)

Contour 115:
(94, 307)
(93, 306)
(91, 303)
(91, 304)
(89, 304)
(91, 307)
(90, 303)
(87, 306)
(87, 304)
(86, 304)
(83, 304)
(85, 307)
(85, 306)
(84, 305)
(79, 305)
(81, 303)
(81, 304)
(80, 304)
(78, 304)
(76, 304)
(73, 306)
(76, 303)
(75, 303)
(72, 303)
(70, 307)
(69, 305)
(67, 303)
(70, 306)
(69, 303)
(64, 303)
(64, 306)
(62, 306)
(64, 306)
(64, 306)
(59, 304)
(60, 305)
(57, 307)
(57, 307)
(59, 306)
(58, 307)
(56, 306)
(52, 303)
(52, 302)
(52, 304)
(50, 304)
(49, 305)
(51, 303)
(48, 300)
(47, 300)
(47, 299)
(48, 297)
(51, 298)
(49, 295)
(51, 296)
(48, 296)
(51, 295)
(51, 296)
(50, 300)
(50, 300)
(52, 302)
(50, 301)
(52, 304)
(55, 301)
(52, 305)
(55, 304)
(56, 303)
(55, 306)
(59, 304)
(57, 302)
(60, 303)
(61, 303)
(60, 306)
(65, 302)
(66, 306)
(63, 303)
(64, 303)
(66, 304)
(66, 306)
(69, 303)
(68, 303)
(72, 305)
(70, 303)
(74, 306)
(73, 303)
(77, 304)
(76, 304)
(75, 304)
(77, 304)
(81, 307)
(78, 307)
(80, 306)
(83, 305)
(81, 306)
(82, 307)
(86, 305)
(84, 307)
(85, 305)
(87, 304)
(87, 306)
(89, 304)
(93, 305)
(92, 303)
(91, 307)
(94, 304)
(96, 304)
(98, 303)
(99, 305)
(96, 305)

Contour 116:
(528, 307)
(529, 309)
(527, 308)
(528, 308)
(531, 309)
(529, 309)
(528, 307)
(527, 306)
(528, 305)
(526, 305)

Contour 117:
(511, 309)
(515, 306)
(514, 309)
(513, 307)
(517, 308)
(515, 306)
(519, 307)
(518, 309)
(514, 306)
(513, 309)
(512, 306)
(513, 310)

Contour 118:
(502, 308)
(502, 307)
(506, 306)
(507, 307)
(508, 306)
(507, 310)
(511, 307)
(510, 309)
(511, 310)
(509, 310)
(505, 310)
(507, 309)
(507, 309)
(506, 309)

Contour 119:
(381, 310)
(384, 310)
(385, 306)
(387, 306)
(389, 308)
(385, 307)
(383, 306)
(386, 308)

Contour 120:
(487, 311)
(485, 309)
(488, 310)
(490, 307)
(490, 310)
(489, 308)
(492, 309)
(491, 311)
(492, 310)
(492, 307)
(496, 311)
(497, 311)
(499, 310)
(498, 311)
(498, 307)
(498, 309)
(498, 311)
(497, 310)
(496, 307)
(497, 310)
(496, 309)
(496, 311)
(492, 309)
(491, 307)
(492, 307)
(492, 310)
(489, 310)
(486, 310)
(488, 311)
(485, 307)

Contour 121:
(401, 307)
(400, 307)

Contour 122:
(392, 307)
(393, 311)
(395, 307)
(393, 307)
(396, 311)
(396, 307)
(398, 309)
(399, 307)
(397, 311)
(397, 308)
(395, 307)
(392, 308)

Contour 123:
(459, 310)
(462, 308)
(461, 310)
(466, 310)
(463, 310)
(466, 312)
(466, 312)
(469, 311)
(471, 310)
(470, 312)
(471, 310)
(471, 309)
(474, 312)
(476, 308)
(476, 312)
(476, 308)
(475, 309)
(477, 310)
(479, 309)
(478, 308)
(477, 311)
(477, 311)
(473, 311)
(472, 310)
(475, 310)
(470, 308)
(471, 309)
(470, 312)
(469, 308)
(467, 310)
(465, 309)
(468, 310)
(465, 311)
(465, 310)
(464, 310)
(460, 309)

Contour 124:
(408, 309)
(408, 309)
(410, 308)
(407, 308)
(410, 311)
(410, 310)
(411, 309)
(412, 312)
(415, 310)
(416, 311)
(417, 310)
(417, 311)
(416, 312)
(418, 308)
(420, 310)
(422, 310)
(424, 311)
(423, 308)
(426, 308)
(425, 310)
(427, 310)
(425, 312)
(430, 309)
(427, 308)
(428, 312)
(428, 308)
(430, 309)
(426, 312)
(425, 310)
(426, 311)
(423, 310)
(423, 309)
(420, 312)
(422, 308)
(418, 312)
(419, 311)
(419, 308)
(418, 310)
(417, 312)
(416, 309)
(412, 311)
(414, 312)
(413, 310)
(410, 311)
(412, 309)
(410, 308)
(406, 308)
(405, 311)

Contour 125:
(164, 312)
(163, 311)
(162, 310)
(163, 314)
(163, 314)
(159, 312)
(159, 312)
(159, 309)
(158, 309)
(157, 312)
(153, 313)
(155, 311)
(151, 311)
(151, 310)
(149, 312)
(148, 311)
(147, 311)
(148, 312)
(147, 308)
(147, 312)
(144, 308)
(146, 309)
(144, 309)
(141, 307)
(139, 311)
(141, 310)
(138, 311)
(140, 308)
(137, 311)
(138, 311)
(133, 309)
(135, 311)
(132, 307)
(131, 308)
(131, 308)
(128, 310)
(128, 310)
(126, 308)
(127, 310)
(126, 309)
(127, 306)
(125, 306)
(125, 307)
(120, 307)
(119, 305)
(121, 307)
(118, 309)
(116, 305)
(118, 306)
(116, 308)
(113, 306)
(113, 308)
(115, 305)
(114, 306)
(113, 305)
(109, 308)
(108, 307)
(110, 307)
(105, 306)
(105, 304)
(106, 307)
(103, 304)
(102, 306)
(103, 305)
(101, 305)
(101, 305)
(100, 307)
(101, 306)
(105, 305)
(106, 306)
(105, 305)
(107, 304)
(107, 304)
(107, 304)
(110, 307)
(109, 305)
(113, 306)
(112, 308)
(112, 306)
(114, 306)
(114, 308)
(116, 309)
(119, 306)
(118, 307)
(118, 309)
(122, 309)
(121, 307)
(123, 309)
(121, 306)
(123, 307)
(126, 307)
(126, 305)
(127, 308)
(128, 309)
(131, 307)
(129, 309)
(129, 306)
(131, 308)
(135, 306)
(135, 307)
(136, 306)
(136, 307)
(139, 306)
(137, 306)
(138, 307)
(142, 309)
(141, 309)
(144, 310)
(144, 308)
(143, 307)
(143, 309)
(144, 308)
(145, 312)
(147, 312)
(149, 311)
(151, 311)
(149, 310)
(153, 308)
(153, 310)
(153, 309)
(157, 313)
(156, 312)
(159, 309)
(156, 309)
(157, 312)
(160, 309)
(162, 311)
(161, 310)
(164, 314)
(164, 312)
(166, 312)
(165, 314)
(166, 312)
(166, 315)
(169, 311)
(172, 315)
(171, 311)
(173, 315)
(169, 314)
(170, 314)
(170, 311)
(169, 315)
(165, 313)
(164, 311)

Contour 126:
(553, 314)
(553, 316)
(551, 313)
(548, 314)
(548, 312)
(549, 312)
(547, 311)
(548, 306)
(546, 308)
(545, 306)
(545, 308)
(541, 305)
(544, 307)
(544, 305)
(544, 308)
(545, 306)
(546, 306)
(548, 307)
(549, 309)
(548, 312)
(551, 312)
(548, 310)
(550, 312)
(549, 316)

Contour 127:
(553, 320)
(552, 319)

Contour 128:
(202, 318)
(201, 317)
(199, 318)
(198, 317)
(200, 315)
(198, 315)
(197, 317)
(196, 318)
(197, 315)
(192, 318)
(192, 315)
(192, 316)
(189, 316)
(192, 315)
(189, 316)
(188, 317)
(187, 317)
(185, 313)
(186, 313)
(185, 316)
(183, 314)
(183, 316)
(183, 313)
(182, 317)
(177, 316)
(176, 316)
(177, 313)
(176, 314)
(177, 314)
(175, 312)
(173, 316)
(177, 313)
(177, 312)
(176, 314)
(177, 313)
(181, 315)
(181, 316)
(181, 314)
(183, 313)
(185, 316)
(183, 316)
(188, 314)
(187, 317)
(186, 315)
(190, 315)
(189, 314)
(190, 317)
(194, 317)
(191, 317)
(195, 317)
(196, 316)
(196, 315)
(198, 315)
(197, 317)
(200, 318)
(200, 315)
